dateCreated,dateUpdated,status,scrape_date,title,body,full_review,rating,isRecommended,helpfulCount,unhelpfulCount,isIncentivized,productName,productVariantName,productUrl,productImageUrl,variantId,tags,attributesWithRating,productAttributes,adaptability_for_various_users_mention,adaptability_for_various_users_sentiment,adjustable_features_mention,adjustable_features_sentiment,armrest_and_headrest_features_mention,armrest_and_headrest_features_sentiment,backrest_comfort_and_adjustability_mention,backrest_comfort_and_adjustability_sentiment,comparison_with_competitors_mention,comparison_with_competitors_sentiment,cost_vs_value_mention,cost_vs_value_sentiment,customer_loyalty_and_satisfaction_mention,customer_loyalty_and_satisfaction_sentiment,customer_service_mention,customer_service_sentiment,delivery_and_packaging_mention,delivery_and_packaging_sentiment,ease_of_assembly_mention,ease_of_assembly_sentiment,longevity_mention,longevity_sentiment,lumbar_support_quality_mention,lumbar_support_quality_sentiment,material_and_build_quality_mention,material_and_build_quality_sentiment,posture_and_extended_sitting_comfort_mention,posture_and_extended_sitting_comfort_sentiment,recommendations_for_specific_users_mention,recommendations_for_specific_users_sentiment,seat_cushion_firmness_mention,seat_cushion_firmness_sentiment,tall_mention,tall_sentiment,visual_appeal_and_fit_mention,visual_appeal_and_fit_sentiment,warranty_and_return_policies_mention,warranty_and_return_policies_sentiment,wheels_and_floor_compatibility_mention,wheels_and_floor_compatibility_sentiment
2024-11-24T19:57:19.956Z,2024-11-24T19:57:19.956Z,approved,2024-11-28,Very comfortable - great back support!,I’ve been having a lot of pain in my back and shoulders. This chair provides much needed support to help relieve these symptoms.,Very comfortable - great back support!: I’ve been having a lot of pain in my back and shoulders. This chair provides much needed support to help relieve these symptoms.,5,1.0,1,0,True,Verve Chair,Wheat / Standard,//www.branchfurniture.com/products/verve-chair,https://cdn.shopify.com/s/files/1/0124/5662/4187/files/sprig1_x280.jpg?v=1722528223,40536420581411,,,,0,not mentioned,0,not mentioned,0,not mentioned,1,positive,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,1,positive,0,not mentioned,1,positive,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned
2024-11-07T20:45:03.000Z,2024-11-07T20:45:03.000Z,approved,2024-11-28,5 Stars,My daughter loves this chair. She was having back pain from her old chair and this chair has been such an improvement for her.,5 Stars: My daughter loves this chair. She was having back pain from her old chair and this chair has been such an improvement for her.,5,1.0,0,0,False,Verve Chair,Mist / Standard,//www.branchfurniture.com/products/verve-chair,https://cdn.shopify.com/s/files/1/0124/5662/4187/files/20220513_VerveChair_FrontPersp_Mist_x280.jpg?v=1695306444,39633980325923,,,,0,not mentioned,0,not mentioned,0,not mentioned,1,positive,0,not mentioned,1,positive,1,positive,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,1,positive,0,not mentioned,1,positive,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned
2024-10-29T01:19:24.412Z,2024-10-29T01:19:24.412Z,approved,2024-11-28,Fixed a Physical Issue,"The chair is perfect!  I have it in my art studio.  The chair before it was pinching a nerve and gave me foot pain whenever I worked.  Now, I can adjust the Verve Chair to a comfortable height, arm chair height and adjust the depth.  I am able to work for many hours and have no pain.  It’s the best investment I’ve made for my physical being in a long time!  Thank you!","Fixed a Physical Issue: The chair is perfect!  I have it in my art studio.  The chair before it was pinching a nerve and gave me foot pain whenever I worked.  Now, I can adjust the Verve Chair to a comfortable height, arm chair height and adjust the depth.  I am able to work for many hours and have no pain.  It’s the best investment I’ve made for my physical being in a long time!  Thank you!",5,1.0,1,0,True,Verve Chair,Galaxy / Standard,//www.branchfurniture.com/products/verve-chair,https://cdn.shopify.com/s/files/1/0124/5662/4187/files/20220513_VerveChair_FrontPersp_DarkBlue_x280.jpg?v=1695306444,39633980260387,"[{'tagId': 'uuHebSq', 'value': 'Feature'}]",,,1,positive,1,positive,0,not mentioned,0,not mentioned,0,not mentioned,1,positive,1,positive,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,1,positive,1,positive,1,positive,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned
2024-10-22T20:27:54.451Z,2024-10-22T20:27:54.451Z,approved,2024-11-28,Verve Chair,The ergonomics on this chair are excellent. When searching I was clearly looking for all the ergonomics possible but most importantly seat glide. Makes a big different in stress on hips and lower back when adjusted to the correct space. ,Verve Chair: The ergonomics on this chair are excellent. When searching I was clearly looking for all the ergonomics possible but most importantly seat glide. Makes a big different in stress on hips and lower back when adjusted to the correct space. ,5,1.0,0,0,True,Verve Chair,Lunar / Standard,//www.branchfurniture.com/products/verve-chair,https://cdn.shopify.com/s/files/1/0124/5662/4187/files/lunarvervefront_x280.jpg?v=1695306444,40118174875683,,"[{'minLabel': 'Low', 'title': 'Quality', 'type': 'range', 'value': 5, 'maxLabel': 'High'}, {'minLabel': 'Not comfortable', 'title': 'Comfort', 'type': 'range', 'value': 5, 'maxLabel': 'Extremely comfortable'}]","[{'title': 'Height ', 'type': 'single-value', 'value': '5""5 - 5""9'}, {'title': 'Average hours at desk working per day', 'type': 'single-value', 'value': '7 - 9 hours'}]",0,not mentioned,1,positive,0,not mentioned,1,positive,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,1,positive,0,not mentioned,1,positive,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned
2024-10-16T12:55:24.483Z,2024-10-16T12:55:24.483Z,approved,2024-11-28,Excellent!,"I've had a lot of expensive office chairs over the years and I've always thought that they were not as comfortable as they should be. When I saw instagram ads for Branch and saw the prices, I was very skeptical but decided to take a risk. WOW. I've been beyond impressed. It may be the extra cushioning and the fabric back, but I never get uncomfortable or hot sitting in the chair compared to some of the higher end leather chairs I've had in the past. The settings also let me adjust it to exactly my preferences, which is great. My only criticism is that the arm adjustments need some work; it is hard to set them even and you can undue the height setting on them pretty easily on accident. PS - the light green mint color is so nice. Great job Branch! I've already bought a second for my home office! ","Excellent!: I've had a lot of expensive office chairs over the years and I've always thought that they were not as comfortable as they should be. When I saw instagram ads for Branch and saw the prices, I was very skeptical but decided to take a risk. WOW. I've been beyond impressed. It may be the extra cushioning and the fabric back, but I never get uncomfortable or hot sitting in the chair compared to some of the higher end leather chairs I've had in the past. The settings also let me adjust it to exactly my preferences, which is great. My only criticism is that the arm adjustments need some work; it is hard to set them even and you can undue the height setting on them pretty easily on accident. PS - the light green mint color is so nice. Great job Branch! I've already bought a second for my home office! ",5,1.0,2,0,False,Verve Chair,,//www.branchfurniture.com/products/verve-chair,https://cdn.shopify.com/s/files/1/0124/5662/4187/products/coralherocopy_x280.jpg?v=1652368917,,,"[{'minLabel': 'Low', 'title': 'Quality', 'type': 'range', 'value': 5, 'maxLabel': 'High'}, {'minLabel': 'Not comfortable', 'title': 'Comfort', 'type': 'range', 'value': 5, 'maxLabel': 'Extremely comfortable'}]","[{'title': 'Height ', 'type': 'single-value', 'value': '5""0 - 5""4'}, {'title': 'Average hours at desk working per day', 'type': 'single-value', 'value': '7 - 9 hours'}]",0,not mentioned,1,positive,1,negative,1,positive,0,not mentioned,1,positive,1,positive,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,1,positive,1,positive,1,positive,0,not mentioned,0,not mentioned,0,not mentioned,1,positive,0,not mentioned,0,not mentioned
2024-10-06T14:49:55.658Z,2024-10-06T14:50:38.865Z,approved,2024-11-28,Amazing!,"Hard to think about how many years I spent in a bad chair, then working from my sofa! The Verve Chair is so comfortable with  perfect support. I love sitting at my desk again!","Amazing!: Hard to think about how many years I spent in a bad chair, then working from my sofa! The Verve Chair is so comfortable with  perfect support. I love sitting at my desk again!",5,1.0,1,0,True,Verve Chair,,//www.branchfurniture.com/products/verve-chair,https://cdn.shopify.com/s/files/1/0124/5662/4187/products/coralherocopy_x280.jpg?v=1652368917,,,"[{'minLabel': 'Low', 'title': 'Quality', 'type': 'range', 'value': 5, 'maxLabel': 'High'}, {'minLabel': 'Not comfortable', 'title': 'Comfort', 'type': 'range', 'value': 5, 'maxLabel': 'Extremely comfortable'}]","[{'title': 'Average hours at desk working per day', 'type': 'single-value', 'value': '4 - 6 hours'}]",0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,1,positive,1,positive,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,1,positive,1,positive,1,positive,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned
2024-09-23T00:10:34.007Z,2024-09-23T00:10:34.007Z,approved,2024-11-28,Back and Hip Pain Are Gone,"I’ve been suffering from low back and hip pain ever since Covid and the start of working from home full time. I had purchased a cute looking office chair but it definitely didn’t have any sort of real support. I finally decided that for something I sit in 10 hours a day, I should buy something that won’t cause me health problems to come. After a TON of research on many different brands, I finally decided on the Verve. It is SO comfortable and with all the different points of adjustment it works well for me only being 5 feet tall. The chair is even more beautiful in person. Highly recommend!","Back and Hip Pain Are Gone: I’ve been suffering from low back and hip pain ever since Covid and the start of working from home full time. I had purchased a cute looking office chair but it definitely didn’t have any sort of real support. I finally decided that for something I sit in 10 hours a day, I should buy something that won’t cause me health problems to come. After a TON of research on many different brands, I finally decided on the Verve. It is SO comfortable and with all the different points of adjustment it works well for me only being 5 feet tall. The chair is even more beautiful in person. Highly recommend!",5,1.0,2,0,False,Verve Chair,,//www.branchfurniture.com/products/verve-chair,https://cdn.shopify.com/s/files/1/0124/5662/4187/products/coralherocopy_x280.jpg?v=1652368917,,,,,1,positive,1,positive,0,not mentioned,1,positive,0,not mentioned,1,positive,1,positive,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,1,positive,1,positive,1,positive,1,positive,0,not mentioned,0,not mentioned,1,positive,0,not mentioned,0,not mentioned
2024-09-22T20:36:38.270Z,2024-09-22T20:36:38.270Z,approved,2024-11-28,Tilt tension,I am disappointed that it does not have tilt tension but am now seeing the ergonomic pro coming out does have tilt tension. Can I return / exchange?,Tilt tension: I am disappointed that it does not have tilt tension but am now seeing the ergonomic pro coming out does have tilt tension. Can I return / exchange?,5,1.0,1,0,False,Verve Chair,,//www.branchfurniture.com/products/verve-chair,https://cdn.shopify.com/s/files/1/0124/5662/4187/products/coralherocopy_x280.jpg?v=1652368917,,,,,0,not mentioned,1,negative,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,1,negative,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned
2024-09-22T19:22:09.000Z,2024-09-22T19:22:09.000Z,approved,2024-11-28,5 Stars,Excellent chair. Perfect for home office or work. Many adjustments for different users. Highly recommend.,5 Stars: Excellent chair. Perfect for home office or work. Many adjustments for different users. Highly recommend.,5,1.0,0,0,False,Verve Chair,,//www.branchfurniture.com/products/verve-chair,https://cdn.shopify.com/s/files/1/0124/5662/4187/products/coralherocopy_x280.jpg?v=1652368917,,,,,1,positive,1,positive,0,not mentioned,0,not mentioned,0,not mentioned,1,positive,1,positive,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned
2024-09-22T19:21:37.000Z,2024-09-22T19:21:37.000Z,approved,2024-11-28,5 Stars,Excellent chair. Perfect for home office or work. Many adjustments for different users. Highly recommend.,5 Stars: Excellent chair. Perfect for home office or work. Many adjustments for different users. Highly recommend.,5,1.0,0,0,False,Verve Chair,Galaxy / Standard,//www.branchfurniture.com/products/verve-chair,https://cdn.shopify.com/s/files/1/0124/5662/4187/files/20220513_VerveChair_FrontPersp_DarkBlue_x280.jpg?v=1695306444,39633980260387,,,,1,positive,1,positive,0,not mentioned,0,not mentioned,0,not mentioned,1,positive,1,positive,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,0,not mentioned,1,positive,0,not mentioned,0,not mentioned
